Provincias;Sexo;Periodo;Total
Total;Total;2023;436.124
Total;Total;2022;464.417
Total;Total;2021;450.744
Total;Total;2020;493.776
Total;Total;2019;418.703
Total;Total;2018;427.721
Total;Total;2017;424.523
Total;Total;2016;410.611
Total;Total;2015;422.568
Total;Total;2014;395.830
Total;Total;2013;390.419
Total;Total;2012;402.950
Total;Total;2011;387.911
Total;Total;2010;382.047
Total;Total;2009;384.933
Total;Total;2008;386.324
Total;Total;2007;385.361
Total;Total;2006;371.478
Total;Total;2005;387.355
Total;Total;2004;371.934
Total;Total;2003;384.828
Total;Total;2002;368.618
Total;Total;2001;360.131
Total;Total;2000;360.391
Total;Total;1999;371.102
Total;Total;1998;360.511
Total;Total;1997;349.521
Total;Total;1996;351.449
Total;Total;1995;346.227
Total;Total;1994;338.242
Total;Total;1993;339.661
Total;Total;1992;331.515
Total;Total;1991;337.691
Total;Total;1990;333.142
Total;Total;1989;324.796
Total;Total;1988;319.437
Total;Total;1987;310.073
Total;Total;1986;310.413
Total;Total;1985;312.532
Total;Total;1984;299.409
Total;Total;1983;302.569
Total;Total;1982;286.655
Total;Total;1981;293.386
Total;Total;1980;289.344
Total;Total;1979;291.213
Total;Total;1978;296.781
Total;Total;1977;294.324
Total;Total;1976;299.007
Total;Total;1975;298.192
