Provincias;Periodo;Total
Total;2023M12;41.758
Total;2023M11;35.014
Total;2023M10;33.887
Total;2023M09;32.050
Total;2023M08;35.439
Total;2023M07;33.517
Total;2023M06;32.673
Total;2023M05;33.633
Total;2023M04;34.697
Total;2023M03;39.976
Total;2023M02;39.645
Total;2023M01;43.835
Total;2022M12;42.397
Total;2022M11;35.521
Total;2022M10;35.269
Total;2022M09;32.357
Total;2022M08;38.525
Total;2022M07;44.641
Total;2022M06;36.988
Total;2022M05;37.975
Total;2022M04;36.759
Total;2022M03;38.058
Total;2022M02;38.928
Total;2022M01;46.999
Total;2021M12;42.397
Total;2021M11;36.990
Total;2021M10;34.537
Total;2021M09;32.802
Total;2021M08;38.147
Total;2021M07;35.313
Total;2021M06;32.379
Total;2021M05;34.183
Total;2021M04;34.484
Total;2021M03;36.845
Total;2021M02;40.529
Total;2021M01;52.138
Total;2020M12;41.645
Total;2020M11;42.264
Total;2020M10;39.720
Total;2020M09;34.568
Total;2020M08;36.038
Total;2020M07;34.768
Total;2020M06;30.755
Total;2020M05;35.073
Total;2020M04;61.025
Total;2020M03;58.204
Total;2020M02;36.623
Total;2020M01;43.093
Total;2019M12;36.739
Total;2019M11;34.706
Total;2019M10;32.770
Total;2019M09;29.916
Total;2019M08;31.671
Total;2019M07;33.551
Total;2019M06;31.873
Total;2019M05;33.866
Total;2019M04;34.201
Total;2019M03;37.058
Total;2019M02;37.737
Total;2019M01;44.615
Total;2018M12;37.033
Total;2018M11;34.338
Total;2018M10;32.879
Total;2018M09;30.293
Total;2018M08;33.177
Total;2018M07;32.215
Total;2018M06;31.970
Total;2018M05;33.421
Total;2018M04;34.956
Total;2018M03;39.772
Total;2018M02;39.756
Total;2018M01;47.911
Total;2017M12;41.665
Total;2017M11;34.149
Total;2017M10;32.680
Total;2017M09;30.049
Total;2017M08;32.356
Total;2017M07;31.924
Total;2017M06;32.236
Total;2017M05;33.673
Total;2017M04;33.208
Total;2017M03;35.779
Total;2017M02;37.434
Total;2017M01;49.370
Total;2016M12;39.188
Total;2016M11;33.759
Total;2016M10;32.060
Total;2016M09;30.095
Total;2016M08;32.248
Total;2016M07;32.961
Total;2016M06;31.512
Total;2016M05;33.001
Total;2016M04;33.707
Total;2016M03;38.198
Total;2016M02;35.548
Total;2016M01;38.334
Total;2015M12;36.423
Total;2015M11;32.346
Total;2015M10;31.898
Total;2015M09;28.863
Total;2015M08;31.220
Total;2015M07;35.628
Total;2015M06;31.078
Total;2015M05;32.706
Total;2015M04;33.686
Total;2015M03;38.987
Total;2015M02;42.464
Total;2015M01;47.269
Total;2014M12;36.468
Total;2014M11;32.466
Total;2014M10;32.011
Total;2014M09;29.087
Total;2014M08;30.335
Total;2014M07;30.999
Total;2014M06;30.655
Total;2014M05;31.540
Total;2014M04;31.894
Total;2014M03;35.179
Total;2014M02;34.834
Total;2014M01;40.362
Total;2013M12;37.032
Total;2013M11;32.092
Total;2013M10;30.578
Total;2013M09;28.249
Total;2013M08;29.931
Total;2013M07;32.046
Total;2013M06;30.289
Total;2013M05;31.322
Total;2013M04;31.499
Total;2013M03;36.332
Total;2013M02;33.996
Total;2013M01;37.053
Total;2012M12;34.791
Total;2012M11;31.804
Total;2012M10;30.323
Total;2012M09;28.116
Total;2012M08;30.683
Total;2012M07;29.599
Total;2012M06;29.362
Total;2012M05;32.297
Total;2012M04;32.940
Total;2012M03;39.292
Total;2012M02;43.738
Total;2012M01;40.005
Total;2011M12;36.106
Total;2011M11;31.907
Total;2011M10;31.605
Total;2011M09;28.546
Total;2011M08;30.625
Total;2011M07;30.349
Total;2011M06;29.786
Total;2011M05;31.119
Total;2011M04;31.021
Total;2011M03;34.656
Total;2011M02;33.978
Total;2011M01;38.213
Total;2010M12;35.062
Total;2010M11;31.841
Total;2010M10;31.122
Total;2010M09;27.789
Total;2010M08;29.735
Total;2010M07;31.574
Total;2010M06;29.198
Total;2010M05;31.300
Total;2010M04;31.352
Total;2010M03;33.624
Total;2010M02;32.564
Total;2010M01;36.886
Total;2009M12;35.538
Total;2009M11;30.940
Total;2009M10;30.764
Total;2009M09;27.716
Total;2009M08;30.224
Total;2009M07;29.872
Total;2009M06;29.381
Total;2009M05;31.297
Total;2009M04;31.139
Total;2009M03;33.445
Total;2009M02;32.614
Total;2009M01;42.003
Total;2008M12;37.107
Total;2008M11;31.726
Total;2008M10;31.081
Total;2008M09;27.176
Total;2008M08;29.740
Total;2008M07;30.375
Total;2008M06;29.716
Total;2008M05;30.099
Total;2008M04;31.983
Total;2008M03;34.582
Total;2008M02;34.306
Total;2008M01;38.433
Total;2007M12;36.058
